"","X","Date","Slice","Time","Count","cID","l2","nl2","CellLine","drug","conc"
"684",684,20140808,"WellR04-C08H2B_day11",92.5305,265,36,8.049848549,0.615220322,"SKMEL5","PLX4720",8
"685",685,20140808,"WellR04-C08H2B_day12",98.33389992,265,36,8.049848549,0.615220322,"SKMEL5","PLX4720",8
"700",700,20140808,"WellR04-C08H2B_day6",0,526,37,9.038918989,0,"SKMEL5","PLX4720",8
"701",701,20140808,"WellR04-C08H2B_day7",2.022799992,550,37,9.103287808,0.064368819,"SKMEL5","PLX4720",8
"702",702,20140808,"WellR04-C08H2B_day8",19.0719,701,37,9.453270634,0.414351645,"SKMEL5","PLX4720",8
"703",703,20140808,"WellR04-C08H2B_day9",48.643000008,955,37,9.899356923,0.860437934,"SKMEL5","PLX4720",8
"704",704,20140808,"WellR04-C08H2B_day10",67.994200008,1188,37,10.21431912,1.175400132,"SKMEL5","PLX4720",8
"705",705,20140808,"WellR04-C08H2B_day11",92.5305,1375,37,10.4252159,1.386296914,"SKMEL5","PLX4720",8
"706",706,20140808,"WellR04-C08H2B_day12",98.33389992,1458,37,10.509775,1.470856015,"SKMEL5","PLX4720",8
"721",721,20140808,"WellR04-C08H2B_day6",0,136,38,7.087462841,0,"SKMEL5","PLX4720",8
"722",722,20140808,"WellR04-C08H2B_day7",2.022799992,149,38,7.21916852,0.131705679,"SKMEL5","PLX4720",8
"723",723,20140808,"WellR04-C08H2B_day8",19.0719,167,38,7.383704292,0.296241451,"SKMEL5","PLX4720",8
"724",724,20140808,"WellR04-C08H2B_day9",48.643000008,198,38,7.62935662,0.541893779,"SKMEL5","PLX4720",8
"725",725,20140808,"WellR04-C08H2B_day10",67.994200008,190,38,7.569855608,0.482392767,"SKMEL5","PLX4720",8
"726",726,20140808,"WellR04-C08H2B_day11",92.5305,193,38,7.592457037,0.504994196,"SKMEL5","PLX4720",8
"727",727,20140808,"WellR04-C08H2B_day12",98.33389992,127,38,6.988684687,-0.098778154,"SKMEL5","PLX4720",8
"742",742,20140808,"WellR04-C08H2B_day6",0,130,39,7.022367813,0,"SKMEL5","PLX4720",8
"743",743,20140808,"WellR04-C08H2B_day7",2.022799992,134,39,7.06608919,0.043721377,"SKMEL5","PLX4720",8
"744",744,20140808,"WellR04-C08H2B_day8",19.0719,175,39,7.451211112,0.428843299,"SKMEL5","PLX4720",8
"745",745,20140808,"WellR04-C08H2B_day9",48.643000008,162,39,7.339850003,0.31748219,"SKMEL5","PLX4720",8
"746",746,20140808,"WellR04-C08H2B_day10",67.994200008,182,39,7.50779464,0.485426827,"SKMEL5","PLX4720",8
"747",747,20140808,"WellR04-C08H2B_day11",92.5305,224,39,7.807354922,0.784987109,"SKMEL5","PLX4720",8
"748",748,20140808,"WellR04-C08H2B_day12",98.33389992,225,39,7.813781191,0.791413378,"SKMEL5","PLX4720",8
"763",763,20140808,"WellR04-C08H2B_day6",0,59,40,5.882643049,0,"SKMEL5","PLX4720",8
"764",764,20140808,"WellR04-C08H2B_day7",2.022799992,58,40,5.857980995,-0.024662054,"SKMEL5","PLX4720",8
"765",765,20140808,"WellR04-C08H2B_day8",19.0719,71,40,6.14974712,0.26710407,"SKMEL5","PLX4720",8
"766",766,20140808,"WellR04-C08H2B_day9",48.643000008,50,40,5.64385619,-0.23878686,"SKMEL5","PLX4720",8
"767",767,20140808,"WellR04-C08H2B_day10",67.994200008,73,40,6.189824559,0.30718151,"SKMEL5","PLX4720",8
"768",768,20140808,"WellR04-C08H2B_day11",92.5305,82,40,6.357552005,0.474908955,"SKMEL5","PLX4720",8
"769",769,20140808,"WellR04-C08H2B_day12",98.33389992,82,40,6.357552005,0.474908955,"SKMEL5","PLX4720",8
"784",784,20140808,"WellR04-C09H2B_day6",0,217,41,7.761551232,0,"SKMEL5","PLX4720",8
"785",785,20140808,"WellR04-C09H2B_day7",2.022799992,220,41,7.781359714,0.019808481,"SKMEL5","PLX4720",8
"786",786,20140808,"WellR04-C09H2B_day8",19.0719,265,41,8.049848549,0.288297317,"SKMEL5","PLX4720",8
"787",787,20140808,"WellR04-C09H2B_day9",48.643000008,244,41,7.930737338,0.169186105,"SKMEL5","PLX4720",8
"788",788,20140808,"WellR04-C09H2B_day10",67.994200008,254,41,7.988684687,0.227133454,"SKMEL5","PLX4720",8
"789",789,20140808,"WellR04-C09H2B_day11",92.5305,290,41,8.17990909,0.418357858,"SKMEL5","PLX4720",8
"790",790,20140808,"WellR04-C09H2B_day12",98.33389992,191,41,7.577428828,-0.184122404,"SKMEL5","PLX4720",8
"805",805,20140808,"WellR04-C09H2B_day6",0,132,42,7.044394119,0,"SKMEL5","PLX4720",8
"806",806,20140808,"WellR04-C09H2B_day7",2.022799992,126,42,6.977279923,-0.067114196,"SKMEL5","PLX4720",8
"807",807,20140808,"WellR04-C09H2B_day8",19.0719,97,42,6.599912842,-0.444481277,"SKMEL5","PLX4720",8
"808",808,20140808,"WellR04-C09H2B_day9",48.643000008,65,42,6.022367813,-1.022026306,"SKMEL5","PLX4720",8
"809",809,20140808,"WellR04-C09H2B_day10",67.994200008,65,42,6.022367813,-1.022026306,"SKMEL5","PLX4720",8
"810",810,20140808,"WellR04-C09H2B_day11",92.5305,60,42,5.906890596,-1.137503524,"SKMEL5","PLX4720",8
"811",811,20140808,"WellR04-C09H2B_day12",98.33389992,49,42,5.614709844,-1.429684275,"SKMEL5","PLX4720",8
"826",826,20140808,"WellR04-C09H2B_day6",0,162,44,7.339850003,0,"SKMEL5","PLX4720",8
"827",827,20140808,"WellR04-C09H2B_day7",2.022799992,150,44,7.22881869,-0.111031312,"SKMEL5","PLX4720",8
"828",828,20140808,"WellR04-C09H2B_day8",19.0719,180,44,7.491853096,0.152003093,"SKMEL5","PLX4720",8
"829",829,20140808,"WellR04-C09H2B_day9",48.643000008,180,44,7.491853096,0.152003093,"SKMEL5","PLX4720",8
"830",830,20140808,"WellR04-C09H2B_day10",67.994200008,196,44,7.614709844,0.274859841,"SKMEL5","PLX4720",8
"831",831,20140808,"WellR04-C09H2B_day11",92.5305,197,44,7.622051819,0.282201817,"SKMEL5","PLX4720",8
"832",832,20140808,"WellR04-C09H2B_day12",98.33389992,193,44,7.592457037,0.252607034,"SKMEL5","PLX4720",8
"847",847,20140808,"WellR04-C09H2B_day6",0,126,45,6.977279923,0,"SKMEL5","PLX4720",8
"848",848,20140808,"WellR04-C09H2B_day7",2.022799992,125,45,6.965784285,-0.011495639,"SKMEL5","PLX4720",8
"849",849,20140808,"WellR04-C09H2B_day8",19.0719,102,45,6.672425342,-0.304854582,"SKMEL5","PLX4720",8
"850",850,20140808,"WellR04-C09H2B_day9",48.643000008,86,45,6.426264755,-0.551015169,"SKMEL5","PLX4720",8
"851",851,20140808,"WellR04-C09H2B_day10",67.994200008,110,45,6.781359714,-0.19592021,"SKMEL5","PLX4720",8
"852",852,20140808,"WellR04-C09H2B_day11",92.5305,133,45,7.055282436,0.078002512,"SKMEL5","PLX4720",8
"853",853,20140808,"WellR04-C09H2B_day12",98.33389992,130,45,7.022367813,0.04508789,"SKMEL5","PLX4720",8
"868",868,20140808,"WellR04-C10H2B_day6",0,126,46,6.977279923,0,"SKMEL5","PLX4720",8
"869",869,20140808,"WellR04-C10H2B_day7",2.022799992,117,46,6.87036472,-0.106915204,"SKMEL5","PLX4720",8
"870",870,20140808,"WellR04-C10H2B_day8",19.0719,149,46,7.21916852,0.241888597,"SKMEL5","PLX4720",8
"871",871,20140808,"WellR04-C10H2B_day9",48.643000008,115,46,6.845490051,-0.131789873,"SKMEL5","PLX4720",8
"872",872,20140808,"WellR04-C10H2B_day10",67.994200008,140,46,7.129283017,0.152003093,"SKMEL5","PLX4720",8
"873",873,20140808,"WellR04-C10H2B_day11",92.5305,182,46,7.50779464,0.530514717,"SKMEL5","PLX4720",8
"874",874,20140808,"WellR04-C10H2B_day12",98.33389992,179,46,7.483815777,0.506535854,"SKMEL5","PLX4720",8
"889",889,20140808,"WellR04-C10H2B_day6",0,68,47,6.087462841,0,"SKMEL5","PLX4720",8
"890",890,20140808,"WellR04-C10H2B_day7",2.022799992,61,47,5.930737338,-0.156725504,"SKMEL5","PLX4720",8
"891",891,20140808,"WellR04-C10H2B_day8",19.0719,77,47,6.266786541,0.179323699,"SKMEL5","PLX4720",8
"892",892,20140808,"WellR04-C10H2B_day9",48.643000008,67,47,6.06608919,-0.021373651,"SKMEL5","PLX4720",8
"893",893,20140808,"WellR04-C10H2B_day10",67.994200008,68,47,6.087462841,0,"SKMEL5","PLX4720",8
"894",894,20140808,"WellR04-C10H2B_day11",92.5305,70,47,6.129283017,0.041820176,"SKMEL5","PLX4720",8
"895",895,20140808,"WellR04-C10H2B_day12",98.33389992,73,47,6.189824559,0.102361718,"SKMEL5","PLX4720",8
"910",910,20140808,"WellR04-C10H2B_day6",0,64,48,6,0,"SKMEL5","PLX4720",8
"911",911,20140808,"WellR04-C10H2B_day7",2.022799992,75,48,6.22881869,0.22881869,"SKMEL5","PLX4720",8
"912",912,20140808,"WellR04-C10H2B_day8",19.0719,76,48,6.247927513,0.247927513,"SKMEL5","PLX4720",8
"913",913,20140808,"WellR04-C10H2B_day9",48.643000008,95,48,6.569855608,0.569855608,"SKMEL5","PLX4720",8
"914",914,20140808,"WellR04-C10H2B_day10",67.994200008,102,48,6.672425342,0.672425342,"SKMEL5","PLX4720",8
"915",915,20140808,"WellR04-C10H2B_day11",92.5305,106,48,6.727920455,0.727920455,"SKMEL5","PLX4720",8
"916",916,20140808,"WellR04-C10H2B_day12",98.33389992,106,48,6.727920455,0.727920455,"SKMEL5","PLX4720",8
"931",931,20140808,"WellR04-C11H2B_day6",0,256,49,8,0,"SKMEL5","PLX4720",8
"932",932,20140808,"WellR04-C11H2B_day7",2.022799992,260,49,8.022367813,0.022367813,"SKMEL5","PLX4720",8
"933",933,20140808,"WellR04-C11H2B_day8",19.0719,321,49,8.326429487,0.326429487,"SKMEL5","PLX4720",8
"934",934,20140808,"WellR04-C11H2B_day9",48.643000008,303,49,8.243173983,0.243173983,"SKMEL5","PLX4720",8
"935",935,20140808,"WellR04-C11H2B_day10",67.994200008,376,49,8.554588852,0.554588852,"SKMEL5","PLX4720",8
"936",936,20140808,"WellR04-C11H2B_day11",92.5305,416,49,8.700439718,0.700439718,"SKMEL5","PLX4720",8
"937",937,20140808,"WellR04-C11H2B_day12",98.33389992,438,49,8.77478706,0.77478706,"SKMEL5","PLX4720",8
"952",952,20140808,"WellR04-C11H2B_day6",0,115,50,6.845490051,0,"SKMEL5","PLX4720",8
"953",953,20140808,"WellR04-C11H2B_day7",2.022799992,118,50,6.882643049,0.037152998,"SKMEL5","PLX4720",8
"954",954,20140808,"WellR04-C11H2B_day8",19.0719,109,50,6.768184325,-0.077305726,"SKMEL5","PLX4720",8
"955",955,20140808,"WellR04-C11H2B_day9",48.643000008,94,50,6.554588852,-0.290901199,"SKMEL5","PLX4720",8
"956",956,20140808,"WellR04-C11H2B_day10",67.994200008,104,50,6.700439718,-0.145050333,"SKMEL5","PLX4720",8
"957",957,20140808,"WellR04-C11H2B_day11",92.5305,100,50,6.64385619,-0.201633861,"SKMEL5","PLX4720",8
"958",958,20140808,"WellR04-C11H2B_day12",98.33389992,95,50,6.569855608,-0.275634443,"SKMEL5","PLX4720",8
"973",973,20140808,"WellR04-C11H2B_day6",0,70,51,6.129283017,0,"SKMEL5","PLX4720",8
"974",974,20140808,"WellR04-C11H2B_day7",2.022799992,75,51,6.22881869,0.099535674,"SKMEL5","PLX4720",8
"975",975,20140808,"WellR04-C11H2B_day8",19.0719,82,51,6.357552005,0.228268988,"SKMEL5","PLX4720",8
"976",976,20140808,"WellR04-C11H2B_day9",48.643000008,64,51,6,-0.129283017,"SKMEL5","PLX4720",8
"977",977,20140808,"WellR04-C11H2B_day10",67.994200008,78,51,6.285402219,0.156119202,"SKMEL5","PLX4720",8
"978",978,20140808,"WellR04-C11H2B_day11",92.5305,82,51,6.357552005,0.228268988,"SKMEL5","PLX4720",8
"979",979,20140808,"WellR04-C11H2B_day12",98.33389992,70,51,6.129283017,0,"SKMEL5","PLX4720",8
"994",994,20140808,"WellR05-C02H2B_day6",0,139,53,7.118941073,0,"SKMEL5","PLX4720",8
"995",995,20140808,"WellR05-C02H2B_day7",2.022799992,136,53,7.087462841,-0.031478231,"SKMEL5","PLX4720",8
"996",996,20140808,"WellR05-C02H2B_day8",19.0719,190,53,7.569855608,0.450914536,"SKMEL5","PLX4720",8
"997",997,20140808,"WellR05-C02H2B_day9",48.643000008,137,53,7.098032083,-0.02090899,"SKMEL5","PLX4720",8
"998",998,20140808,"WellR05-C02H2B_day10",67.994200008,148,53,7.209453366,0.090512293,"SKMEL5","PLX4720",8
"999",999,20140808,"WellR05-C02H2B_day11",92.5305,149,53,7.21916852,0.100227448,"SKMEL5","PLX4720",8
"1000",1000,20140808,"WellR05-C02H2B_day12",98.33389992,138,53,7.108524457,-0.010416616,"SKMEL5","PLX4720",8
"1015",1015,20140808,"WellR05-C02H2B_day6",0,107,54,6.741466986,0,"SKMEL5","PLX4720",8
"1016",1016,20140808,"WellR05-C02H2B_day7",2.022799992,98,54,6.614709844,-0.126757142,"SKMEL5","PLX4720",8
"1017",1017,20140808,"WellR05-C02H2B_day8",19.0719,100,54,6.64385619,-0.097610797,"SKMEL5","PLX4720",8
"1018",1018,20140808,"WellR05-C02H2B_day9",48.643000008,90,54,6.491853096,-0.24961389,"SKMEL5","PLX4720",8
"1019",1019,20140808,"WellR05-C02H2B_day10",67.994200008,79,54,6.303780748,-0.437686238,"SKMEL5","PLX4720",8
"1020",1020,20140808,"WellR05-C02H2B_day11",92.5305,68,54,6.087462841,-0.654004145,"SKMEL5","PLX4720",8
"1021",1021,20140808,"WellR05-C02H2B_day12",98.33389992,64,54,6,-0.741466986,"SKMEL5","PLX4720",8
"1036",1036,20140808,"WellR05-C03H2B_day6",0,33,55,5.044394119,0,"SKMEL5","PLX4720",8
"1037",1037,20140808,"WellR05-C03H2B_day7",2.022799992,34,55,5.087462841,0.043068722,"SKMEL5","PLX4720",8
"1038",1038,20140808,"WellR05-C03H2B_day8",19.0719,32,55,5,-0.044394119,"SKMEL5","PLX4720",8
"1039",1039,20140808,"WellR05-C03H2B_day9",48.643000008,24,55,4.584962501,-0.459431619,"SKMEL5","PLX4720",8
"1040",1040,20140808,"WellR05-C03H2B_day10",67.994200008,29,55,4.857980995,-0.186413124,"SKMEL5","PLX4720",8
"1041",1041,20140808,"WellR05-C03H2B_day11",92.5305,35,55,5.129283017,0.084888898,"SKMEL5","PLX4720",8
"1042",1042,20140808,"WellR05-C03H2B_day12",98.33389992,34,55,5.087462841,0.043068722,"SKMEL5","PLX4720",8
"1057",1057,20140808,"WellR05-C03H2B_day6",0,114,56,6.832890014,0,"SKMEL5","PLX4720",8
"1058",1058,20140808,"WellR05-C03H2B_day7",2.022799992,129,56,7.011227255,0.178337241,"SKMEL5","PLX4720",8
"1059",1059,20140808,"WellR05-C03H2B_day8",19.0719,144,56,7.169925001,0.337034987,"SKMEL5","PLX4720",8
"1060",1060,20140808,"WellR05-C03H2B_day9",48.643000008,127,56,6.988684687,0.155794673,"SKMEL5","PLX4720",8
"1061",1061,20140808,"WellR05-C03H2B_day10",67.994200008,146,56,7.189824559,0.356934545,"SKMEL5","PLX4720",8
"1062",1062,20140808,"WellR05-C03H2B_day11",92.5305,159,56,7.312882955,0.479992941,"SKMEL5","PLX4720",8
"1063",1063,20140808,"WellR05-C03H2B_day12",98.33389992,159,56,7.312882955,0.479992941,"SKMEL5","PLX4720",8
"1078",1078,20140808,"WellR05-C03H2B_day6",0,124,57,6.95419631,0,"SKMEL5","PLX4720",8
"1079",1079,20140808,"WellR05-C03H2B_day7",2.022799992,115,57,6.845490051,-0.108706259,"SKMEL5","PLX4720",8
"1080",1080,20140808,"WellR05-C03H2B_day8",19.0719,113,57,6.820178962,-0.134017348,"SKMEL5","PLX4720",8
"1081",1081,20140808,"WellR05-C03H2B_day9",48.643000008,94,57,6.554588852,-0.399607459,"SKMEL5","PLX4720",8
"1082",1082,20140808,"WellR05-C03H2B_day10",67.994200008,81,57,6.339850003,-0.614346308,"SKMEL5","PLX4720",8
"1083",1083,20140808,"WellR05-C03H2B_day11",92.5305,96,57,6.584962501,-0.36923381,"SKMEL5","PLX4720",8
"1084",1084,20140808,"WellR05-C03H2B_day12",98.33389992,43,57,5.426264755,-1.527931556,"SKMEL5","PLX4720",8
"1099",1099,20140808,"WellR05-C03H2B_day6",0,61,58,5.930737338,0,"SKMEL5","PLX4720",8
"1100",1100,20140808,"WellR05-C03H2B_day7",2.022799992,51,58,5.672425342,-0.258311996,"SKMEL5","PLX4720",8
"1101",1101,20140808,"WellR05-C03H2B_day8",19.0719,59,58,5.882643049,-0.048094288,"SKMEL5","PLX4720",8
"1102",1102,20140808,"WellR05-C03H2B_day9",48.643000008,59,58,5.882643049,-0.048094288,"SKMEL5","PLX4720",8
"1103",1103,20140808,"WellR05-C03H2B_day10",67.994200008,71,58,6.14974712,0.219009782,"SKMEL5","PLX4720",8
"1104",1104,20140808,"WellR05-C03H2B_day11",92.5305,72,58,6.169925001,0.239187664,"SKMEL5","PLX4720",8
"1105",1105,20140808,"WellR05-C03H2B_day12",98.33389992,65,58,6.022367813,0.091630475,"SKMEL5","PLX4720",8
"1120",1120,20140808,"WellR05-C03H2B_day6",0,104,59,6.700439718,0,"SKMEL5","PLX4720",8
"1121",1121,20140808,"WellR05-C03H2B_day7",2.022799992,101,59,6.658211483,-0.042228235,"SKMEL5","PLX4720",8
"1122",1122,20140808,"WellR05-C03H2B_day8",19.0719,113,59,6.820178962,0.119739244,"SKMEL5","PLX4720",8
"1123",1123,20140808,"WellR05-C03H2B_day9",48.643000008,93,59,6.539158811,-0.161280907,"SKMEL5","PLX4720",8
"1124",1124,20140808,"WellR05-C03H2B_day10",67.994200008,104,59,6.700439718,0,"SKMEL5","PLX4720",8
"1125",1125,20140808,"WellR05-C03H2B_day11",92.5305,98,59,6.614709844,-0.085729874,"SKMEL5","PLX4720",8
"1126",1126,20140808,"WellR05-C03H2B_day12",98.33389992,87,59,6.442943496,-0.257496222,"SKMEL5","PLX4720",8
"1141",1141,20140808,"WellR05-C03H2B_day6",0,553,60,9.11113567,0,"SKMEL5","PLX4720",8
"1142",1142,20140808,"WellR05-C03H2B_day7",2.022799992,565,60,9.142107057,0.030971387,"SKMEL5","PLX4720",8
"1143",1143,20140808,"WellR05-C03H2B_day8",19.0719,666,60,9.379378367,0.268242697,"SKMEL5","PLX4720",8
"1144",1144,20140808,"WellR05-C03H2B_day9",48.643000008,799,60,9.642051693,0.530916023,"SKMEL5","PLX4720",8
"1145",1145,20140808,"WellR05-C03H2B_day10",67.994200008,904,60,9.820178962,0.709043292,"SKMEL5","PLX4720",8
"1146",1146,20140808,"WellR05-C03H2B_day11",92.5305,963,60,9.911391988,0.800256318,"SKMEL5","PLX4720",8
"1147",1147,20140808,"WellR05-C03H2B_day12",98.33389992,1051,60,10.03754695,0.926411284,"SKMEL5","PLX4720",8
"1162",1162,20140808,"WellR05-C04H2B_day6",0,311,61,8.28077077,0,"SKMEL5","PLX4720",8
"1163",1163,20140808,"WellR05-C04H2B_day7",2.022799992,323,61,8.335390355,0.054619585,"SKMEL5","PLX4720",8
"1164",1164,20140808,"WellR05-C04H2B_day8",19.0719,395,61,8.625708843,0.344938073,"SKMEL5","PLX4720",8
"1165",1165,20140808,"WellR05-C04H2B_day9",48.643000008,360,61,8.491853096,0.211082326,"SKMEL5","PLX4720",8
"1166",1166,20140808,"WellR05-C04H2B_day10",67.994200008,376,61,8.554588852,0.273818082,"SKMEL5","PLX4720",8
"1167",1167,20140808,"WellR05-C04H2B_day11",92.5305,397,61,8.632995197,0.352224427,"SKMEL5","PLX4720",8
"1168",1168,20140808,"WellR05-C04H2B_day12",98.33389992,415,61,8.696967526,0.416196756,"SKMEL5","PLX4720",8
"1183",1183,20140808,"WellR05-C04H2B_day6",0,143,62,7.159871337,0,"SKMEL5","PLX4720",8
"1184",1184,20140808,"WellR05-C04H2B_day7",2.022799992,149,62,7.21916852,0.059297184,"SKMEL5","PLX4720",8
"1185",1185,20140808,"WellR05-C04H2B_day8",19.0719,192,62,7.584962501,0.425091164,"SKMEL5","PLX4720",8
"1186",1186,20140808,"WellR05-C04H2B_day9",48.643000008,174,62,7.442943496,0.283072159,"SKMEL5","PLX4720",8
"1187",1187,20140808,"WellR05-C04H2B_day10",67.994200008,220,62,7.781359714,0.621488377,"SKMEL5","PLX4720",8
"1188",1188,20140808,"WellR05-C04H2B_day11",92.5305,228,62,7.832890014,0.673018677,"SKMEL5","PLX4720",8
"1189",1189,20140808,"WellR05-C04H2B_day12",98.33389992,225,62,7.813781191,0.653909854,"SKMEL5","PLX4720",8
"1204",1204,20140808,"WellR05-C04H2B_day6",0,66,63,6.044394119,0,"SKMEL5","PLX4720",8
"1205",1205,20140808,"WellR05-C04H2B_day7",2.022799992,64,63,6,-0.044394119,"SKMEL5","PLX4720",8
"1206",1206,20140808,"WellR05-C04H2B_day8",19.0719,66,63,6.044394119,0,"SKMEL5","PLX4720",8
"1207",1207,20140808,"WellR05-C04H2B_day9",48.643000008,63,63,5.977279923,-0.067114196,"SKMEL5","PLX4720",8
"1208",1208,20140808,"WellR05-C04H2B_day10",67.994200008,56,63,5.807354922,-0.237039197,"SKMEL5","PLX4720",8
"1209",1209,20140808,"WellR05-C04H2B_day11",92.5305,63,63,5.977279923,-0.067114196,"SKMEL5","PLX4720",8
"1210",1210,20140808,"WellR05-C04H2B_day12",98.33389992,62,63,5.95419631,-0.090197809,"SKMEL5","PLX4720",8
"1225",1225,20140808,"WellR05-C04H2B_day6",0,46,64,5.523561956,0,"SKMEL5","PLX4720",8
"1226",1226,20140808,"WellR05-C04H2B_day7",2.022799992,46,64,5.523561956,0,"SKMEL5","PLX4720",8
"1227",1227,20140808,"WellR05-C04H2B_day8",19.0719,60,64,5.906890596,0.38332864,"SKMEL5","PLX4720",8
"1228",1228,20140808,"WellR05-C04H2B_day9",48.643000008,64,64,6,0.476438044,"SKMEL5","PLX4720",8
"1229",1229,20140808,"WellR05-C04H2B_day10",67.994200008,64,64,6,0.476438044,"SKMEL5","PLX4720",8
"1230",1230,20140808,"WellR05-C04H2B_day11",92.5305,56,64,5.807354922,0.283792966,"SKMEL5","PLX4720",8
"1231",1231,20140808,"WellR05-C04H2B_day12",98.33389992,61,64,5.930737338,0.407175382,"SKMEL5","PLX4720",8
"1246",1246,20140808,"WellR05-C05H2B_day6",0,159,65,7.312882955,0,"SKMEL5","PLX4720",8
"1247",1247,20140808,"WellR05-C05H2B_day7",2.022799992,160,65,7.321928095,0.00904514,"SKMEL5","PLX4720",8
"1248",1248,20140808,"WellR05-C05H2B_day8",19.0719,217,65,7.761551232,0.448668277,"SKMEL5","PLX4720",8
"1249",1249,20140808,"WellR05-C05H2B_day9",48.643000008,167,65,7.383704292,0.070821337,"SKMEL5","PLX4720",8
"1250",1250,20140808,"WellR05-C05H2B_day10",67.994200008,212,65,7.727920455,0.415037499,"SKMEL5","PLX4720",8
"1251",1251,20140808,"WellR05-C05H2B_day11",92.5305,245,65,7.936637939,0.623754984,"SKMEL5","PLX4720",8
"1252",1252,20140808,"WellR05-C05H2B_day12",98.33389992,254,65,7.988684687,0.675801731,"SKMEL5","PLX4720",8
"1267",1267,20140808,"WellR05-C05H2B_day6",0,80,66,6.321928095,0,"SKMEL5","PLX4720",8
"1268",1268,20140808,"WellR05-C05H2B_day7",2.022799992,85,66,6.409390936,0.087462841,"SKMEL5","PLX4720",8
"1269",1269,20140808,"WellR05-C05H2B_day8",19.0719,88,66,6.459431619,0.137503524,"SKMEL5","PLX4720",8
"1270",1270,20140808,"WellR05-C05H2B_day9",48.643000008,90,66,6.491853096,0.169925001,"SKMEL5","PLX4720",8
"1271",1271,20140808,"WellR05-C05H2B_day10",67.994200008,100,66,6.64385619,0.321928095,"SKMEL5","PLX4720",8
"1272",1272,20140808,"WellR05-C05H2B_day11",92.5305,106,66,6.727920455,0.40599236,"SKMEL5","PLX4720",8
"1273",1273,20140808,"WellR05-C05H2B_day12",98.33389992,112,66,6.807354922,0.485426827,"SKMEL5","PLX4720",8
"1288",1288,20140808,"WellR05-C05H2B_day6",0,496,67,8.95419631,0,"SKMEL5","PLX4720",8
"1289",1289,20140808,"WellR05-C05H2B_day7",2.022799992,471,67,8.87958325,-0.074613061,"SKMEL5","PLX4720",8
"1290",1290,20140808,"WellR05-C05H2B_day8",19.0719,621,67,9.278449458,0.324253148,"SKMEL5","PLX4720",8
"1291",1291,20140808,"WellR05-C05H2B_day9",48.643000008,559,67,9.126704473,0.172508162,"SKMEL5","PLX4720",8
"1292",1292,20140808,"WellR05-C05H2B_day10",67.994200008,624,67,9.285402219,0.331205908,"SKMEL5","PLX4720",8
"1293",1293,20140808,"WellR05-C05H2B_day11",92.5305,745,67,9.541096615,0.586900305,"SKMEL5","PLX4720",8
"1294",1294,20140808,"WellR05-C05H2B_day12",98.33389992,601,67,9.231221181,0.27702487,"SKMEL5","PLX4720",8
"1309",1309,20140808,"WellR05-C05H2B_day6",0,79,68,6.303780748,0,"SKMEL5","PLX4720",8
"1310",1310,20140808,"WellR05-C05H2B_day7",2.022799992,79,68,6.303780748,0,"SKMEL5","PLX4720",8
"1311",1311,20140808,"WellR05-C05H2B_day8",19.0719,94,68,6.554588852,0.250808104,"SKMEL5","PLX4720",8
"1312",1312,20140808,"WellR05-C05H2B_day9",48.643000008,95,68,6.569855608,0.26607486,"SKMEL5","PLX4720",8
"1313",1313,20140808,"WellR05-C05H2B_day10",67.994200008,115,68,6.845490051,0.541709303,"SKMEL5","PLX4720",8
"1314",1314,20140808,"WellR05-C05H2B_day11",92.5305,154,68,7.266786541,0.963005793,"SKMEL5","PLX4720",8
"1315",1315,20140808,"WellR05-C05H2B_day12",98.33389992,155,68,7.276124405,0.972343657,"SKMEL5","PLX4720",8
"1330",1330,20140808,"WellR05-C05H2B_day6",0,233,69,7.864186145,0,"SKMEL5","PLX4720",8
"1331",1331,20140808,"WellR05-C05H2B_day7",2.022799992,224,69,7.807354922,-0.056831223,"SKMEL5","PLX4720",8
"1332",1332,20140808,"WellR05-C05H2B_day8",19.0719,249,69,7.960001932,0.095815787,"SKMEL5","PLX4720",8
"1333",1333,20140808,"WellR05-C05H2B_day9",48.643000008,288,69,8.169925001,0.305738857,"SKMEL5","PLX4720",8
"1334",1334,20140808,"WellR05-C05H2B_day10",67.994200008,326,69,8.348728154,0.48454201,"SKMEL5","PLX4720",8
"1335",1335,20140808,"WellR05-C05H2B_day11",92.5305,349,69,8.447083226,0.582897082,"SKMEL5","PLX4720",8
"1336",1336,20140808,"WellR05-C05H2B_day12",98.33389992,372,69,8.539158811,0.674972666,"SKMEL5","PLX4720",8
"1351",1351,20140808,"WellR05-C06H2B_day6",0,53,70,5.727920455,0,"SKMEL5","PLX4720",8
"1352",1352,20140808,"WellR05-C06H2B_day7",2.022799992,53,70,5.727920455,0,"SKMEL5","PLX4720",8
"1353",1353,20140808,"WellR05-C06H2B_day8",19.0719,70,70,6.129283017,0.401362562,"SKMEL5","PLX4720",8
"1354",1354,20140808,"WellR05-C06H2B_day9",48.643000008,60,70,5.906890596,0.178970141,"SKMEL5","PLX4720",8
"1355",1355,20140808,"WellR05-C06H2B_day10",67.994200008,79,70,6.303780748,0.575860294,"SKMEL5","PLX4720",8
"1356",1356,20140808,"WellR05-C06H2B_day11",92.5305,102,70,6.672425342,0.944504887,"SKMEL5","PLX4720",8
"1357",1357,20140808,"WellR05-C06H2B_day12",98.33389992,91,70,6.50779464,0.779874186,"SKMEL5","PLX4720",8
