well,row,col,cell.line,drug1.units,drug2.units,drug1,drug2,drug1.conc,drug2.conc,upid,expt.date,rate,rate.95ci
L11,L,11,WM88,M,M,plx4720,dpi,2.5e-07,1.5e-11,1,03_27_18,-0.0144246441357,0.000898765720095
L12,L,12,WM88,M,M,plx4720,dpi,2.5e-07,3.8e-12,1,03_27_18,-0.0147464868422,0.00159656920755
L13,L,13,WM88,M,M,plx4720,control,2.5e-07,0.0,1,03_27_18,-0.0232371151276,0.00123638813939
L14,L,14,WM88,M,M,plx4720,dpi,2.5e-07,1e-06,1,03_27_18,-0.0113453060197,0.00215981261786
L15,L,15,WM88,M,M,plx4720,dpi,2.5e-07,2.5e-07,1,03_27_18,-0.0115229870403,0.00110670203633
L16,L,16,WM88,M,M,plx4720,dpi,2.5e-07,6.3e-08,1,03_27_18,-0.0166417255548,0.000841835372781
L17,L,17,WM88,M,M,plx4720,dpi,2.5e-07,1.6e-08,1,03_27_18,0.00665233930265,0.00243997811368
L18,L,18,WM88,M,M,plx4720,dpi,2.5e-07,3.9e-09,1,03_27_18,-0.018163335179,0.0018589721046
L19,L,19,WM88,M,M,plx4720,dpi,2.5e-07,9.8e-10,1,03_27_18,-0.00735437016667,0.000687794601728
L20,L,20,WM88,M,M,plx4720,dpi,2.5e-07,2.4e-10,1,03_27_18,-0.0118442288424,0.00189950974397
L21,L,21,WM88,M,M,plx4720,dpi,2.5e-07,6.1e-11,1,03_27_18,-0.0151736583923,0.00133007754575
L22,L,22,WM88,M,M,plx4720,dpi,2.5e-07,1.5e-11,1,03_27_18,-0.0320707524616,0.00393610130207
L23,L,23,WM88,M,M,plx4720,dpi,2.5e-07,3.8e-12,1,03_27_18,-0.00706647418082,0.000804664994752
M02,M,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0238085527522,0.00103336262124
M03,M,3,WM88,M,M,plx4720,dpi,6.3e-08,1e-06,1,03_27_18,-0.00623793759044,0.00393797630106
M04,M,4,WM88,M,M,plx4720,dpi,6.3e-08,2.5e-07,1,03_27_18,-0.00890699891994,0.000881632067233
M05,M,5,WM88,M,M,plx4720,dpi,6.3e-08,6.3e-08,1,03_27_18,-0.0157351099747,0.00204332019872
M06,M,6,WM88,M,M,plx4720,dpi,6.3e-08,1.6e-08,1,03_27_18,-0.00595045728331,0.00183925561398
M07,M,7,WM88,M,M,plx4720,dpi,6.3e-08,3.9e-09,1,03_27_18,-0.0102875918116,0.00124365633788
M08,M,8,WM88,M,M,plx4720,dpi,6.3e-08,9.8e-10,1,03_27_18,-0.0134131464351,0.00217199986161
M09,M,9,WM88,M,M,plx4720,dpi,6.3e-08,2.4e-10,1,03_27_18,-0.0156483385817,0.00160447198419
M10,M,10,WM88,M,M,plx4720,dpi,6.3e-08,6.1e-11,1,03_27_18,-0.01050706963,0.000819922109889
M11,M,11,WM88,M,M,plx4720,dpi,6.3e-08,1.5e-11,1,03_27_18,-0.0112115958926,0.00121367112334
M12,M,12,WM88,M,M,plx4720,dpi,6.3e-08,3.8e-12,1,03_27_18,-0.00705704401322,0.00217718563286
M13,M,13,WM88,M,M,plx4720,control,6.3e-08,0.0,1,03_27_18,-0.0194072224499,0.00204256400961
M14,M,14,WM88,M,M,plx4720,dpi,6.3e-08,1e-06,1,03_27_18,-0.00810994547366,0.0023934274954
M15,M,15,WM88,M,M,plx4720,dpi,6.3e-08,2.5e-07,1,03_27_18,0.000783996640196,0.00310704761861
M16,M,16,WM88,M,M,plx4720,dpi,6.3e-08,6.3e-08,1,03_27_18,-0.00896228554305,0.00116350508077
M17,M,17,WM88,M,M,plx4720,dpi,6.3e-08,1.6e-08,1,03_27_18,0.0210839739698,0.00192779642314
M18,M,18,WM88,M,M,plx4720,dpi,6.3e-08,3.9e-09,1,03_27_18,-0.00982882677722,0.00120644331032
M19,M,19,WM88,M,M,plx4720,dpi,6.3e-08,9.8e-10,1,03_27_18,0.00381718099538,0.000761105147061
M20,M,20,WM88,M,M,plx4720,dpi,6.3e-08,2.4e-10,1,03_27_18,-0.00197093742857,0.00234466394947
M21,M,21,WM88,M,M,plx4720,dpi,6.3e-08,6.1e-11,1,03_27_18,-0.0100584538627,0.00280123855314
M22,M,22,WM88,M,M,plx4720,dpi,6.3e-08,1.5e-11,1,03_27_18,-0.00790487593677,0.000946134973089
M23,M,23,WM88,M,M,plx4720,dpi,6.3e-08,3.8e-12,1,03_27_18,0.000282195955406,0.0010628044302
N02,N,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0299799368874,0.00121608776422
N03,N,3,WM88,M,M,plx4720,dpi,1.6e-08,1e-06,1,03_27_18,-0.00535483497874,0.00222146227998
N04,N,4,WM88,M,M,plx4720,dpi,1.6e-08,2.5e-07,1,03_27_18,-0.0272958060594,0.0013425824064
N05,N,5,WM88,M,M,plx4720,dpi,1.6e-08,6.3e-08,1,03_27_18,-0.0108017840238,0.00196151239343
N06,N,6,WM88,M,M,plx4720,dpi,1.6e-08,1.6e-08,1,03_27_18,-0.0195804231754,0.008783534388
N07,N,7,WM88,M,M,plx4720,dpi,1.6e-08,3.9e-09,1,03_27_18,-0.0353680791779,0.00220869357945
N08,N,8,WM88,M,M,plx4720,dpi,1.6e-08,9.8e-10,1,03_27_18,0.000245396924346,0.000935966322116
N09,N,9,WM88,M,M,plx4720,dpi,1.6e-08,2.4e-10,1,03_27_18,-0.0230043716369,0.00179869233947
N10,N,10,WM88,M,M,plx4720,dpi,1.6e-08,6.1e-11,1,03_27_18,-0.0120339453241,0.00297363789324
N11,N,11,WM88,M,M,plx4720,dpi,1.6e-08,1.5e-11,1,03_27_18,-0.00430453372772,0.00117518514777
N12,N,12,WM88,M,M,plx4720,dpi,1.6e-08,3.8e-12,1,03_27_18,-0.0335342393254,0.00134482372077
N13,N,13,WM88,M,M,plx4720,control,1.6e-08,0.0,1,03_27_18,0.00157239469593,0.000777211766285
N14,N,14,WM88,M,M,plx4720,dpi,1.6e-08,1e-06,1,03_27_18,-0.0164289052813,0.00251490625185
N15,N,15,WM88,M,M,plx4720,dpi,1.6e-08,2.5e-07,1,03_27_18,0.00519158437462,0.00203071730893
N16,N,16,WM88,M,M,plx4720,dpi,1.6e-08,6.3e-08,1,03_27_18,0.000729205915389,0.00292618324748
N17,N,17,WM88,M,M,plx4720,dpi,1.6e-08,1.6e-08,1,03_27_18,0.0226253427105,0.0010452262507
N18,N,18,WM88,M,M,plx4720,dpi,1.6e-08,3.9e-09,1,03_27_18,-0.00155087254311,0.00148652934666
N19,N,19,WM88,M,M,plx4720,dpi,1.6e-08,9.8e-10,1,03_27_18,0.00507446518786,0.000543385724792
N20,N,20,WM88,M,M,plx4720,dpi,1.6e-08,2.4e-10,1,03_27_18,0.0123262969153,0.00100643361683
N21,N,21,WM88,M,M,plx4720,dpi,1.6e-08,6.1e-11,1,03_27_18,-0.000750000979424,0.00134374905482
N22,N,22,WM88,M,M,plx4720,dpi,1.6e-08,1.5e-11,1,03_27_18,0.00235150631318,0.00221425969569
N23,N,23,WM88,M,M,plx4720,dpi,1.6e-08,3.8e-12,1,03_27_18,-0.00416417749527,0.00175841509264
O02,O,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0276434196601,0.000542065605923
O03,O,3,WM88,M,M,plx4720,dpi,0.0,1e-06,1,03_27_18,0.0161248201822,0.00255405550783
O04,O,4,WM88,M,M,plx4720,dpi,0.0,2.5e-07,1,03_27_18,0.0202941102162,0.000860121503735
O05,O,5,WM88,M,M,plx4720,dpi,0.0,6.3e-08,1,03_27_18,0.0199183010929,0.00299104973718
O06,O,6,WM88,M,M,plx4720,dpi,0.0,1.6e-08,1,03_27_18,0.0205480236614,0.000706723811334
O07,O,7,WM88,M,M,plx4720,dpi,0.0,3.9e-09,1,03_27_18,0.0186258782964,0.00139941475064
O08,O,8,WM88,M,M,plx4720,dpi,0.0,9.8e-10,1,03_27_18,0.0171661511555,0.00101889752461
O09,O,9,WM88,M,M,plx4720,dpi,0.0,2.4e-10,1,03_27_18,0.0207774332085,0.000300014569106
O10,O,10,WM88,M,M,plx4720,dpi,0.0,6.1e-11,1,03_27_18,0.0263718615535,0.000163389386722
O11,O,11,WM88,M,M,plx4720,dpi,0.0,1.5e-11,1,03_27_18,0.0151424044754,0.00122815917026
O12,O,12,WM88,M,M,plx4720,dpi,0.0,3.8e-12,1,03_27_18,0.0269446909488,0.00144057999617
O13,O,13,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0222996549184,0.00139685532632
O14,O,14,WM88,M,M,plx4720,dpi,0.0,1e-06,1,03_27_18,0.0191962776975,0.00230203484486
O15,O,15,WM88,M,M,plx4720,dpi,0.0,2.5e-07,1,03_27_18,0.0216409295113,0.0012977094683
O16,O,16,WM88,M,M,plx4720,dpi,0.0,6.3e-08,1,03_27_18,0.0237179116762,0.00151317009012
O17,O,17,WM88,M,M,plx4720,dpi,0.0,1.6e-08,1,03_27_18,0.0176086860465,0.00102001897169
O18,O,18,WM88,M,M,plx4720,dpi,0.0,3.9e-09,1,03_27_18,0.0234032674211,0.000868578396608
O19,O,19,WM88,M,M,plx4720,dpi,0.0,9.8e-10,1,03_27_18,0.0201837204644,0.000519455006343
O20,O,20,WM88,M,M,plx4720,dpi,0.0,2.4e-10,1,03_27_18,0.0249507223015,0.00285177540459
O21,O,21,WM88,M,M,plx4720,dpi,0.0,6.1e-11,1,03_27_18,0.0204023946341,0.00140279947229
O22,O,22,WM88,M,M,plx4720,dpi,0.0,1.5e-11,1,03_27_18,0.0205071969081,0.00135208319836
O23,O,23,WM88,M,M,plx4720,dpi,0.0,3.8e-12,1,03_27_18,0.0241563469077,0.00126000356747
I02,I,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0247549681362,0.00104256543963
I03,I,3,SC07,M,M,plx4720,dpi,1.6e-05,1e-06,2,03_27_18,-0.00501630484926,0.00413719305343
I04,I,4,SC07,M,M,plx4720,dpi,1.6e-05,2.5e-07,2,03_27_18,-0.0246882865136,0.00257909825696
I05,I,5,SC07,M,M,plx4720,dpi,1.6e-05,6.3e-08,2,03_27_18,-0.00867252362866,0.00680354476846
I06,I,6,SC07,M,M,plx4720,dpi,1.6e-05,1.6e-08,2,03_27_18,-0.0177786058588,0.00315978186351
I07,I,7,SC07,M,M,plx4720,dpi,1.6e-05,3.9e-09,2,03_27_18,-0.036779510582,0.00362791598788
I08,I,8,SC07,M,M,plx4720,dpi,1.6e-05,9.8e-10,2,03_27_18,-0.0148603073047,0.00196030850938
I09,I,9,SC07,M,M,plx4720,dpi,1.6e-05,2.4e-10,2,03_27_18,-0.0055642572906,0.00144645085744
I10,I,10,SC07,M,M,plx4720,dpi,1.6e-05,6.1e-11,2,03_27_18,-0.00603762302987,0.00107736068622
I11,I,11,SC07,M,M,plx4720,dpi,1.6e-05,1.5e-11,2,03_27_18,-0.0118557611255,0.00330179420087
I12,I,12,SC07,M,M,plx4720,dpi,1.6e-05,3.8e-12,2,03_27_18,-0.0045087776385,0.000847704218241
I13,I,13,SC07,M,M,plx4720,control,1.6e-05,0.0,2,03_27_18,-0.00801792219954,0.00366074574101
I14,I,14,SC07,M,M,plx4720,dpi,1.6e-05,1e-06,2,03_27_18,-0.0164667017385,0.00234575265164
I15,I,15,SC07,M,M,plx4720,dpi,1.6e-05,2.5e-07,2,03_27_18,-0.0170044502075,0.00149730380054
I16,I,16,SC07,M,M,plx4720,dpi,1.6e-05,6.3e-08,2,03_27_18,-0.016447131982,0.00300677360303
I17,I,17,SC07,M,M,plx4720,dpi,1.6e-05,1.6e-08,2,03_27_18,-0.0414654759987,0.00243433550838
I18,I,18,SC07,M,M,plx4720,dpi,1.6e-05,3.9e-09,2,03_27_18,-0.0162357269642,0.0013804566312
I19,I,19,SC07,M,M,plx4720,dpi,1.6e-05,9.8e-10,2,03_27_18,-0.0054441461787,0.00332742870099
I20,I,20,SC07,M,M,plx4720,dpi,1.6e-05,2.4e-10,2,03_27_18,-0.0201345214379,0.0027382221327
I21,I,21,SC07,M,M,plx4720,dpi,1.6e-05,6.1e-11,2,03_27_18,-0.0120529362144,0.000735039778521
I22,I,22,SC07,M,M,plx4720,dpi,1.6e-05,1.5e-11,2,03_27_18,-0.0134844912585,0.00184384286471
I23,I,23,SC07,M,M,plx4720,dpi,1.6e-05,3.8e-12,2,03_27_18,-0.00890883826998,0.00266421095634
J02,J,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0243688224399,0.00103305418072
J03,J,3,SC07,M,M,plx4720,dpi,4e-06,1e-06,2,03_27_18,-0.00820113747009,0.00100628429103
J04,J,4,SC07,M,M,plx4720,dpi,4e-06,2.5e-07,2,03_27_18,0.00209749395413,0.00198446120977
J05,J,5,SC07,M,M,plx4720,dpi,4e-06,6.3e-08,2,03_27_18,-0.00463261270201,0.0016157505854
J06,J,6,SC07,M,M,plx4720,dpi,4e-06,1.6e-08,2,03_27_18,-0.0113229596927,0.00315802411453
J07,J,7,SC07,M,M,plx4720,dpi,4e-06,3.9e-09,2,03_27_18,0.00111596752339,0.0036189031751
J08,J,8,SC07,M,M,plx4720,dpi,4e-06,9.8e-10,2,03_27_18,0.00387726208903,0.000594069491159
J09,J,9,SC07,M,M,plx4720,dpi,4e-06,2.4e-10,2,03_27_18,0.0162242020648,0.0022308418833
J10,J,10,SC07,M,M,plx4720,dpi,4e-06,6.1e-11,2,03_27_18,0.00644773449836,0.00127816785909
J11,J,11,SC07,M,M,plx4720,dpi,4e-06,1.5e-11,2,03_27_18,0.01490273697,0.00267290869467
J12,J,12,SC07,M,M,plx4720,dpi,4e-06,3.8e-12,2,03_27_18,0.0116871597736,0.00144147885143
J13,J,13,SC07,M,M,plx4720,control,4e-06,0.0,2,03_27_18,-0.00195063287793,0.00328130000266
J14,J,14,SC07,M,M,plx4720,dpi,4e-06,1e-06,2,03_27_18,-0.0234247802743,0.00114870577015
J15,J,15,SC07,M,M,plx4720,dpi,4e-06,2.5e-07,2,03_27_18,-0.0164675970954,0.00101464440345
J16,J,16,SC07,M,M,plx4720,dpi,4e-06,6.3e-08,2,03_27_18,-0.0157382420964,0.00321771589563
J17,J,17,SC07,M,M,plx4720,dpi,4e-06,1.6e-08,2,03_27_18,-3.69453661183e-05,0.00157896082963
J18,J,18,SC07,M,M,plx4720,dpi,4e-06,3.9e-09,2,03_27_18,-0.00163407068092,0.00077052989472
J19,J,19,SC07,M,M,plx4720,dpi,4e-06,9.8e-10,2,03_27_18,-0.00667650236076,0.00068669461892
J20,J,20,SC07,M,M,plx4720,dpi,4e-06,2.4e-10,2,03_27_18,0.00426061921077,0.000641680161349
J21,J,21,SC07,M,M,plx4720,dpi,4e-06,6.1e-11,2,03_27_18,-0.0018310146021,0.00211441151312
J22,J,22,SC07,M,M,plx4720,dpi,4e-06,1.5e-11,2,03_27_18,-0.00382990927097,0.00109979377109
J23,J,23,SC07,M,M,plx4720,dpi,4e-06,3.8e-12,2,03_27_18,0.0058922164432,0.0010004740283
K02,K,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0313524846423,0.000928056264272
K03,K,3,SC07,M,M,plx4720,dpi,1e-06,1e-06,2,03_27_18,-0.00766664001497,0.00208085597136
K04,K,4,SC07,M,M,plx4720,dpi,1e-06,2.5e-07,2,03_27_18,-0.00271653536737,0.000567202169789
K05,K,5,SC07,M,M,plx4720,dpi,1e-06,6.3e-08,2,03_27_18,-0.000642447099859,0.00110679679177
K06,K,6,SC07,M,M,plx4720,dpi,1e-06,1.6e-08,2,03_27_18,-0.0157348176126,0.00161182190819
K07,K,7,SC07,M,M,plx4720,dpi,1e-06,3.9e-09,2,03_27_18,0.00247011447423,0.0021950678344
K08,K,8,SC07,M,M,plx4720,dpi,1e-06,9.8e-10,2,03_27_18,-0.000731464062923,0.00229939670453
K09,K,9,SC07,M,M,plx4720,dpi,1e-06,2.4e-10,2,03_27_18,0.0095786981691,0.00127739901406
K10,K,10,SC07,M,M,plx4720,dpi,1e-06,6.1e-11,2,03_27_18,0.00510065682417,0.000785968415132
K11,K,11,SC07,M,M,plx4720,dpi,1e-06,1.5e-11,2,03_27_18,-0.00122802964173,0.000565970448703
K12,K,12,SC07,M,M,plx4720,dpi,1e-06,3.8e-12,2,03_27_18,0.0102356939286,0.00140267016447
K13,K,13,SC07,M,M,plx4720,control,1e-06,0.0,2,03_27_18,-0.00670887498549,0.00250797717904
K14,K,14,SC07,M,M,plx4720,dpi,1e-06,1e-06,2,03_27_18,-0.0201205685776,0.00155853169852
K15,K,15,SC07,M,M,plx4720,dpi,1e-06,2.5e-07,2,03_27_18,-0.00898888948663,0.00277851176814
K16,K,16,SC07,M,M,plx4720,dpi,1e-06,6.3e-08,2,03_27_18,-0.00308836806671,0.000951759478186
K17,K,17,SC07,M,M,plx4720,dpi,1e-06,1.6e-08,2,03_27_18,-0.00394434279909,0.00368895492578
K18,K,18,SC07,M,M,plx4720,dpi,1e-06,3.9e-09,2,03_27_18,0.00399559097128,0.00205795007472
K19,K,19,SC07,M,M,plx4720,dpi,1e-06,9.8e-10,2,03_27_18,-0.000123739577499,0.0014022909149
K20,K,20,SC07,M,M,plx4720,dpi,1e-06,2.4e-10,2,03_27_18,0.00238771844935,0.00146056554645
K21,K,21,SC07,M,M,plx4720,dpi,1e-06,6.1e-11,2,03_27_18,0.0074199905569,0.00116326890468
K22,K,22,SC07,M,M,plx4720,dpi,1e-06,1.5e-11,2,03_27_18,0.00627073133314,0.000447323598862
K23,K,23,SC07,M,M,plx4720,dpi,1e-06,3.8e-12,2,03_27_18,0.00659248329384,0.000987088422081
L02,L,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0278988130389,0.000819596309159
L03,L,3,SC07,M,M,plx4720,dpi,2.5e-07,1e-06,2,03_27_18,-0.0123817661924,0.00127898729647
L04,L,4,SC07,M,M,plx4720,dpi,2.5e-07,2.5e-07,2,03_27_18,-0.0051290768715,0.000633112248319
L05,L,5,SC07,M,M,plx4720,dpi,2.5e-07,6.3e-08,2,03_27_18,-0.00694452235063,0.00146925765673
L06,L,6,SC07,M,M,plx4720,dpi,2.5e-07,1.6e-08,2,03_27_18,0.00188152861972,0.000488099256155
L07,L,7,SC07,M,M,plx4720,dpi,2.5e-07,3.9e-09,2,03_27_18,0.0139320841107,0.00231171733048
L08,L,8,SC07,M,M,plx4720,dpi,2.5e-07,9.8e-10,2,03_27_18,-0.00283711007424,0.00204317117219
L09,L,9,SC07,M,M,plx4720,dpi,2.5e-07,2.4e-10,2,03_27_18,0.0100581007687,0.00132296960328
L10,L,10,SC07,M,M,plx4720,dpi,2.5e-07,6.1e-11,2,03_27_18,0.00311486395572,0.0011463419086
L11,L,11,SC07,M,M,plx4720,dpi,2.5e-07,1.5e-11,2,03_27_18,0.00901027867897,0.000953721528393
L12,L,12,SC07,M,M,plx4720,dpi,2.5e-07,3.8e-12,2,03_27_18,0.0127107228296,0.00186226426265
L13,L,13,SC07,M,M,plx4720,control,2.5e-07,0.0,2,03_27_18,0.0140108998733,0.000218370394522
L14,L,14,SC07,M,M,plx4720,dpi,2.5e-07,1e-06,2,03_27_18,-0.0106453381467,0.00115934262431
L15,L,15,SC07,M,M,plx4720,dpi,2.5e-07,2.5e-07,2,03_27_18,0.000740480066489,0.00257150032982
L16,L,16,SC07,M,M,plx4720,dpi,2.5e-07,6.3e-08,2,03_27_18,0.00164651563185,0.00265937988644
L17,L,17,SC07,M,M,plx4720,dpi,2.5e-07,1.6e-08,2,03_27_18,0.0168116277584,0.00147540073507
L18,L,18,SC07,M,M,plx4720,dpi,2.5e-07,3.9e-09,2,03_27_18,-0.00613939127317,0.00147954848855
L19,L,19,SC07,M,M,plx4720,dpi,2.5e-07,9.8e-10,2,03_27_18,0.00711323487094,0.00125330559996
L20,L,20,SC07,M,M,plx4720,dpi,2.5e-07,2.4e-10,2,03_27_18,0.0107756706933,0.00267336094021
L21,L,21,SC07,M,M,plx4720,dpi,2.5e-07,6.1e-11,2,03_27_18,0.0200502068245,0.000394915160836
L22,L,22,SC07,M,M,plx4720,dpi,2.5e-07,1.5e-11,2,03_27_18,-0.000441110466335,0.00156594127859
L23,L,23,SC07,M,M,plx4720,dpi,2.5e-07,3.8e-12,2,03_27_18,0.0189764693811,0.00102534968177
M02,M,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.022156239028,0.00157298933115
M03,M,3,SC07,M,M,plx4720,dpi,6.3e-08,1e-06,2,03_27_18,-0.00733303427473,0.000655076851714
M04,M,4,SC07,M,M,plx4720,dpi,6.3e-08,2.5e-07,2,03_27_18,-9.88850099504e-05,0.00327424716589
M05,M,5,SC07,M,M,plx4720,dpi,6.3e-08,6.3e-08,2,03_27_18,-0.00468953750883,0.000803422792048
M06,M,6,SC07,M,M,plx4720,dpi,6.3e-08,1.6e-08,2,03_27_18,0.0082609282563,0.002502566839
M07,M,7,SC07,M,M,plx4720,dpi,6.3e-08,3.9e-09,2,03_27_18,0.00905802188554,0.00165904426424
M08,M,8,SC07,M,M,plx4720,dpi,6.3e-08,9.8e-10,2,03_27_18,0.0135502557768,0.000957801895629
M09,M,9,SC07,M,M,plx4720,dpi,6.3e-08,2.4e-10,2,03_27_18,0.00167770407947,0.000598974229552
M10,M,10,SC07,M,M,plx4720,dpi,6.3e-08,6.1e-11,2,03_27_18,0.00488468168335,0.00280469250971
M11,M,11,SC07,M,M,plx4720,dpi,6.3e-08,1.5e-11,2,03_27_18,0.013606395649,0.00130682049012
M12,M,12,SC07,M,M,plx4720,dpi,6.3e-08,3.8e-12,2,03_27_18,0.0123789319104,0.00298919441991
M13,M,13,SC07,M,M,plx4720,control,6.3e-08,0.0,2,03_27_18,0.0126332946284,0.00176642716236
M14,M,14,SC07,M,M,plx4720,dpi,6.3e-08,1e-06,2,03_27_18,-0.0104750938347,0.00177645915851
M15,M,15,SC07,M,M,plx4720,dpi,6.3e-08,2.5e-07,2,03_27_18,-0.00193907316174,0.0011421662466
M16,M,16,SC07,M,M,plx4720,dpi,6.3e-08,6.3e-08,2,03_27_18,0.00108464348436,0.00229322039744
M17,M,17,SC07,M,M,plx4720,dpi,6.3e-08,1.6e-08,2,03_27_18,0.0181733069822,0.000924372010333
M18,M,18,SC07,M,M,plx4720,dpi,6.3e-08,3.9e-09,2,03_27_18,-0.00336017816374,0.000771933236755
M19,M,19,SC07,M,M,plx4720,dpi,6.3e-08,9.8e-10,2,03_27_18,0.0161636354842,0.00132902204809
M20,M,20,SC07,M,M,plx4720,dpi,6.3e-08,2.4e-10,2,03_27_18,0.013607764802,0.000771146605291
M21,M,21,SC07,M,M,plx4720,dpi,6.3e-08,6.1e-11,2,03_27_18,0.0148830743731,0.000358881130092
M22,M,22,SC07,M,M,plx4720,dpi,6.3e-08,1.5e-11,2,03_27_18,0.0248537215539,0.00228682684737
M23,M,23,SC07,M,M,plx4720,dpi,6.3e-08,3.8e-12,2,03_27_18,0.0177347976635,0.00165841517923
N02,N,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0289411363122,0.00209587613725
N03,N,3,SC07,M,M,plx4720,dpi,1.6e-08,1e-06,2,03_27_18,-0.00225415922257,0.00209961153753
N04,N,4,SC07,M,M,plx4720,dpi,1.6e-08,2.5e-07,2,03_27_18,-0.00752934689719,0.00221775132301
N05,N,5,SC07,M,M,plx4720,dpi,1.6e-08,6.3e-08,2,03_27_18,0.00358793943429,0.000935669059688
N06,N,6,SC07,M,M,plx4720,dpi,1.6e-08,1.6e-08,2,03_27_18,0.0107209081419,0.000954725540187
N07,N,7,SC07,M,M,plx4720,dpi,1.6e-08,3.9e-09,2,03_27_18,-0.00477042256409,0.000971467472552
N08,N,8,SC07,M,M,plx4720,dpi,1.6e-08,9.8e-10,2,03_27_18,0.00905695476915,0.00231462652399
N09,N,9,SC07,M,M,plx4720,dpi,1.6e-08,2.4e-10,2,03_27_18,0.0123340078992,0.00224021064497
N10,N,10,SC07,M,M,plx4720,dpi,1.6e-08,6.1e-11,2,03_27_18,0.0120089688631,0.00230471955492
N11,N,11,SC07,M,M,plx4720,dpi,1.6e-08,1.5e-11,2,03_27_18,0.0190803897689,0.00212684900875
N12,N,12,SC07,M,M,plx4720,dpi,1.6e-08,3.8e-12,2,03_27_18,0.0042379838437,0.00103507621468
N13,N,13,SC07,M,M,plx4720,control,1.6e-08,0.0,2,03_27_18,0.0266739385126,0.00117341744929
N14,N,14,SC07,M,M,plx4720,dpi,1.6e-08,1e-06,2,03_27_18,-0.0186072105354,0.00103620016129
N15,N,15,SC07,M,M,plx4720,dpi,1.6e-08,2.5e-07,2,03_27_18,0.01317604447,0.000679489283144
N16,N,16,SC07,M,M,plx4720,dpi,1.6e-08,6.3e-08,2,03_27_18,-0.000279982562091,0.00061404134845
N17,N,17,SC07,M,M,plx4720,dpi,1.6e-08,1.6e-08,2,03_27_18,0.0134410278914,0.00166728641272
N18,N,18,SC07,M,M,plx4720,dpi,1.6e-08,3.9e-09,2,03_27_18,0.00893777118129,0.00269827360594
N19,N,19,SC07,M,M,plx4720,dpi,1.6e-08,9.8e-10,2,03_27_18,0.0217973015782,0.000776953268225
N20,N,20,SC07,M,M,plx4720,dpi,1.6e-08,2.4e-10,2,03_27_18,0.0234952686996,0.00149747612501
N21,N,21,SC07,M,M,plx4720,dpi,1.6e-08,6.1e-11,2,03_27_18,0.0259604188379,0.000502179778041
N22,N,22,SC07,M,M,plx4720,dpi,1.6e-08,1.5e-11,2,03_27_18,0.0265203290359,0.000637375787934
N23,N,23,SC07,M,M,plx4720,dpi,1.6e-08,3.8e-12,2,03_27_18,0.0230934304465,0.000880471867491
O02,O,2,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0312434992466,0.000706362428739
O03,O,3,SC07,M,M,plx4720,dpi,0.0,1e-06,2,03_27_18,0.0059105183741,0.00210626874531
O04,O,4,SC07,M,M,plx4720,dpi,0.0,2.5e-07,2,03_27_18,0.00499366973434,0.00125646710883
O05,O,5,SC07,M,M,plx4720,dpi,0.0,6.3e-08,2,03_27_18,0.0184706791014,0.000847258893293
O06,O,6,SC07,M,M,plx4720,dpi,0.0,1.6e-08,2,03_27_18,0.0197011777408,0.00164699261049
O07,O,7,SC07,M,M,plx4720,dpi,0.0,3.9e-09,2,03_27_18,0.0196515710959,0.000418040000535
O08,O,8,SC07,M,M,plx4720,dpi,0.0,9.8e-10,2,03_27_18,0.0328920566346,0.000433202036141
O09,O,9,SC07,M,M,plx4720,dpi,0.0,2.4e-10,2,03_27_18,0.0206876543366,0.00147538849194
O10,O,10,SC07,M,M,plx4720,dpi,0.0,6.1e-11,2,03_27_18,0.0369984502135,0.000378334497845
O11,O,11,SC07,M,M,plx4720,dpi,0.0,1.5e-11,2,03_27_18,0.0322443887446,0.000427980253875
O12,O,12,SC07,M,M,plx4720,dpi,0.0,3.8e-12,2,03_27_18,0.026183873927,0.000992433591796
O13,O,13,SC07,M,M,plx4720,control,0.0,0.0,2,03_27_18,0.0385338585158,0.000352340354375
O14,O,14,SC07,M,M,plx4720,dpi,0.0,1e-06,2,03_27_18,0.00377755055342,0.00247523095353
O15,O,15,SC07,M,M,plx4720,dpi,0.0,2.5e-07,2,03_27_18,0.0128789202781,0.00255344915413
O16,O,16,SC07,M,M,plx4720,dpi,0.0,6.3e-08,2,03_27_18,0.0144298135949,0.0012194211805
O17,O,17,SC07,M,M,plx4720,dpi,0.0,1.6e-08,2,03_27_18,0.018419351688,0.000709085282352
O18,O,18,SC07,M,M,plx4720,dpi,0.0,3.9e-09,2,03_27_18,0.0266117447095,0.00121526042342
O19,O,19,SC07,M,M,plx4720,dpi,0.0,9.8e-10,2,03_27_18,0.0338757518999,0.00133537196463
